Age,Gender,Occupation,Visited poll names,Visited poll categories,Voted poll name,Voted poll category
36,Male,Lecturer,"can't schools have a casual dress day, should schools print their own sportskit, number one pastry chef in the world, are fountains on private property considered as luxury","Food and Beverages, Architecture and Agriculture, Fashion","can't schools have a casual dress day, should schools print their own sportskit",Fashion
36,Female,Software Developer,"microphone brand for a presenter, recommended brand for a digital screen, hatchback car for ladies, most popular television channel","IT and Electronics, Automation and Transport","microphone brand for a presenter, recommended brand for a digital screen, most popular television channel",IT and Electronics
37,Female,Architect,"cheapest makeup set, eye shadow to go with red , how efficiently does a lenovo laptop work, city to eat best doughnuts","IT and Electronics, Food and Beverages, Fashion","cheapest makeup set, eye shadow to go with red ",Fashion
37,Female,Businessman,"are coffee makers a waste of money, plants that grow in water logged places, clothes to show off curves in body, natural dye that can be used for food colouring","Food and Beverages, Architecture and Agriculture, Fashion",plants that grow in water logged places,Architecture and Agriculture
37,Male,Lecturer,"recommended Mixer and Sound balancing system brand, restaurant to eat shawarma, headset for rock music, fastmobile phone suggestion","IT and Electronics, Food and Beverages","recommended Mixer and Sound balancing system brand, headset for rock music",IT and Electronics
37,Male,Youtuber,"suitable soil for planting banana, classic car model, portable laptop for business","Automation and Transportation, IT and Electronics, Architecture and Agriculture",,
39,Male,Business Analyst,"digital or analog watches, does coffee actually energize people, phone for mobile photography, must have house feature","IT and Electronics, Food and Beverages, Architecture and Agriculture","digital or analog watches, phone for mobile photography",IT and Electronics
39,Female,Youtuber,"common failure in electronic items,  electrical engineer jobs current salary, clothing style for men, do nuggets contain animal bones","IT and Electronics, Food and Beverages, Fashion","common failure in electronic items,  electrical engineer jobs current salary",IT and Electronics
40,Female,Lecturer,"flowers to grow in a city house, food palatte for a baby shower, powerful microscope for medical labs, place to buy medical glasses","IT and Electronics, Food and Beverages, Fashion","powerful microscope for medical labs, place to buy medical glasses",IT and Electronics
41,Male,Businessman,"Asus Rog Laptops or acer predator laptops , four Terabite Portabla Hard drive or two terabite solid state drive, luxurious feature in audi cars","IT and Electronics,  Automobiles and Transportation ","Asus Rog Laptops or acer predator laptops, IT and Electronics,  four Terabite Portabla Hard drive or two terabite solid state drive",IT and Electronics
41,Female,Lecturer,"high demand suv , affordable sports wear brand, top food in winter season, top shoe brand ","Automation and Transportation, Fashion, Food and Beverages","affordable sports wear brand, top shoe brand ",Fashion
41,Male,Musician,"graphic card tor playing Assassin's Creed, high refresh rate monitor,  flowers to grow in a cityhouse, best sports shoe brand","IT and Electronics, Fashion, Architecture and Agriculture,  ","graphic card tor playing Assassin's Creed, high refresh rate monitor",IT and Electronics
42,Male,Mechanic,"trendiest outfit in old days,  food to get a flat belly, food to boost immunity, plant for small space","Food and Beverages, Architecture and Agriculture, Fashion","food to get a flat belly, food to boost immunity",Food and Beverages
43,Female,Mechanic,"light colour for a bedroom, laptop for minimal tasks, sport shoe brand for athletes,  comfortable sports wear brand, healthy food for athletes","IT and Electronics, Food and Beverages, Fashion, Architecture and Agriculture","sport shoe brand for athletes,  comfortable sports wear brand",Fashion
44,Male,Mechanic,"cutest ballet outfit, best diet plan for dancers, recommended calorie intake for ballet dancers, should all bathrooms have bathtubs","Food and Beverages, Fashion, Architecture and Agriculture","cutest ballet outfit, best diet plan for dancers, recommended calorie intake for ballet dancers","Food and Beverages, Fashion"
44,Female,Student,"is Devilled Chicken Pizza bad for health, suitable laptop for office work,  cup cake toppings suggestion for Christmas, suitable soil for vegetation","IT and Electronics, Food and Beverages, Architecture and Agriculture, Fashion, Automation and Transportation","is Devilled Chicken Pizza bad for health, cup cake toppings suggestion for Christmas",Food and Beverages
45,Female,Business Analyst,"party hairstyle for a girl, car tyre upgrade for rain, are both shampoo and conditioner needed for the best hair, is architecture just about drawing","Fashion, Architecture and Agriculture, Automation and Transportation","party hairstyle for a girl, are both shampoo and conditioner needed for the best hair",Fashion
45,Male,Businessman,"most recommended CCTV camera brand,  valuable wrist watch for men, good soil for planting, new wedding cake designs","Food and Beverages, IT and Electronics,Gardening and Agriculture","most recommended CCTV camera set, Most valuable wrist watch for men",IT and Electronics
45,Male,Musician,"recommended intake of salt per day, food that should not be eaten for dinner, colours shouldn't be used as paint, can coconut trees be grown in any soil","Food and Beverages, Fashion, Architecture and Agriculture","recommended intake of salt per day, food that should not be eaten for dinner",Food and Beverages
46,Female,Student,"oriflame perfume for ladies, shoe with a vibe, food that are not to be eaten before travelling, casual evening wear for ladies, mode of transport recommended to travel long distance","Food and Beverages, Fashion, Automation and Transportation","oriflame perfume for ladies, shoe with a vibe, casual evening wear for ladies,",Fashion
47,Female,Businessman,"highest paid IT job, most selling smart watch, smart tool for pc assembling , latest hard disk brand and the model","IT and Electronics, Fashion","smart tool for pc assembling , latest hard disk brand and the model",IT and Electronics
47,Female,Lecturer,"trendiest outfit in last year, food to get a flat belly, food to boost immunity, should all houses have money plants, attractive hair style","Food and Beverages, Architecture and Agriculture, Fashion","food to get a flat belly, food to boost immunity",Food and Beverages
48,Male,Musician,"place to get used robots for a research, is tesla auto pilot safe, robot type humans need in day to day life, clothes that should not wear","IT and Electronics, Automation and Transportation, Fashion ","place to get used robots for a research, robot type humans need in day to day life",IT and Electronics
48,Female,Student,"oil for babies, natural remedy for dry skin, convenient staircase, fun baking activitiy to do with your kids","Food and Beverages, Architecture and Agriculture, Fashion","oil for babies, natural remedy for dry skin",Fashion
49,Male,Architect,"wall art for living room,  production automater for engines, Huwaei or samsung mobile phone,  tile brand for Bathroom, recommended cement producers","IT and Electronics, Architecture and Agriculture, Fashion, Automation and Transportation","tile brand for Bathrooms, recommended cement producers",Architecture and Agriculture
50,Female,Management analyst,"Quality material for School uniform dress, Dell hardware component quality suggestions, CCTV camera parts availability, companies with the most optimized machinery","IT and Electronics, Fashion, Automation and Transportation","Dell hardware component quality suggestions, CCTV camera parts availability",IT and Electronics
50,Male,Musician,"Food recipes for bakery foods, preferred ice cream type of childern, car for a couple, Top ranking Laptop for gaming","IT and Electronics, Food and Beverages, Automation and Transportation","Food recipes for bakery foods, preferred ice cream type of childern",Food and Beverages
51,Male,Architect,"Mitsubishi double cab model for off road, lamborgini or ferrari, durable Car racing outfit and helmet, Sunglass pair suggestions to wear when driivng ","Fashion, Automation and Transportation","durable Car racing outfit and helmet, Sunglass pair suggestions to wear when driivng ",Automation and Transportation
53,Female,Tailor,"suitable material for evening wear, best fertilizer for growing corn, colour for buttons for a red dress, should people make more food out of soy","Fashion, Architecture and Agriculture, Food and Beverages","suitable material for evening wear, colour for buttons for a red dress",Fashion
53,Male,Youtuber,"cheap car brand for tempory use, highest demanded car model last year, are sausages actually harmful, comfy material suggestions for school uniforms ","IT and Electronics, Food and Beverages, Fashion, Automobiles and Transportation","cheap car brand for tempory use, highest demanded car model last year",Automation and Transportation
54,Male,Mechanic,"fruit for dessert, current best selling SUV, should all companies provide transport to its employees, mails or social media advertisements","Food and Beverages, Architecture and Agriculture, Automation and Transportation","current best selling SUV, should all companies provide transport to its employees",Automation and Transportation
54,Female,Youtuber,"Top family restaurants, Top Network security methods, current salary of a network administrator, should all schools cater to handicapped children","IT and Electronics, Food and Beverages, Architecture and Agriculture","Top Network security methods, current salary of a network administrator",IT and Electronics
55,Male,Electrician,"minimum CPU requirement for developing software, should universities have many open areas for students, do students need tablets in addition to their laptops, pizza place around campus","IT and Electronics, Food and Beverages, Architecture and Agriculture","minimum CPU requirement for developing software, do students need tablets in addition to their laptops",IT and Electronics
56,Male,Electrician,"technology stack for a dynamic website, modern wedding cake design, clothes not to go sky diving in, easiest frontend framework","IT and Electronics, Food and Beverages, Fashion","technology stack for a dynamic website, easiest frontend framework",IT and Electronics
57,Male,Electrician,"car for a CEO, maximum weight a truck can carry, trending fast food outlets among children, should there be a wear sandals to work day","Automation and Transportation, Food and Beverages, Fashion ","car for a CEO, maximum weight a truck can carry",Automation and Transportation
59,Male,Businessman,"Boot Suggestion for winter, Pizza online delivery average time , rate quality of transcend one terabyte Portable hardrive","IT and Electronics, Food and Beverages, Fashion",Boot Suggestion for winter,Fashion
59,Female,Software Developer,"recommended Nvida Geforce Grapics Card for video editing,  is AMD Ryzon processor recommended for video editing, is automation necessary in hardware production","IT and Electronics, Automation and Transportation","recommended Nvida Geforce Grapics Card for video editing, is AMD Ryzon processor recommended for video editing",IT and Electronics
62,Male,Mechanic,"Toyota Axio Engine repair mileage, Apple iphonex lifetime, healthy light weight meal plan for dinner, hybrid cars or petrol cars  ","IT and Electronics, Food and Beverages, Automation and Transportation","Toyota Axio Engine repair mileage, hybrid cars or petrol cars",Automation and Transportation
64,Female,Architect,"recommended server size for a educational site, least favourite ice-cream flavour, camera quality required for a streaming website, is ui/ux the most important thing, colours that look good on camera","IT and Electronics, Food and Beverages,  Fashion","recommended server size for a educational site, camera quality required for a streaming website, is ui/ux the most important thing",IT and Electronics
64,Male,Musician,"Arduino Board types and Micro controller brand, Electronic Sensors online delivery shop, bed room design for a large house, sensor to capture heat","IT and Electronics, Architecture and Agriculture","Arduino Board types and Micro controller brand, Electronic Sensors online delivery shop,",IT and Electronics
64,Male,Student,"best tesla family car ,  salad is best for , canon has the best camera quality","Automobiles and Transport, Food and Beverages, IT and Electronics","best tesla family car ,  salad is best for","Automation and Transportation, Food and Beverages"
66,Male,Electrician,"Drinder and Drill machine brand, wood door carving design for a house, window design for a room,  select a TATA Lorry for transport","IT and Electronics, Food and Beverages, Architecture and Agriculture, Fashion, Automation and Transportation","wood door carving design for a house, window design for a room",Architecture and Agriculture
67,Male,Business Analyst,"Famous building architecture for a city , restaurant for a family outing, shopping mall for quality clothes","Food and Beverages,  Fashion , Architecture and Agriculture,  ",Famous building architecture for a city,Architecture and Agriculture
67,Female,Lecturer,"common fruit plant in home gardens, vegetable that need cold climates, are floral patterned frocks the new trend, rollar gate or sensored gate","Architecture and Agriculture, Fashion, IT and Electronics","common fruit plant in home gardens, vegetable that need cold climates",Architecture and Agriculture
71,Female,Business Analyst,"premium shampoo brand in the market, should a person apply sunscreen once a week, are hand drills a must have for housholds, baby food brand for cereals","IT and Electronics, Food and Beverages, Fashion","premium shampoo brand in the market, should a person apply sunscreen once a week",Fashion
72,Female,Business Analyst,"leaf colours in autumn, historical place for drawing, shoes for the rainy weather, shirt design for the summer, ","Architecture and Agriculture, Fashion,","leaf colours in autumn, historical place for drawing",Architecture and Agriculture
75,Female,Businessman,"POS systems for low budget, new type of shoe designs, mid range mobile phone model,  fruit for diabetic patient","IT and Electronics, Food and Beverages, Fashion","POS systems for low budget, mid range mobile phone model",IT and Electronics
